Barley-Barley products-        Jamaica-Exports and imports,233
Barley-Barley products-        Jordan-Exports and imports,11
Barley-Barley products-        Kenya-Exports and imports,4
Barley-Barley products-        Kuwait-Exports and imports,7
Barley-Barley products-        Lebanon-Exports and imports,48
Barley-Barley products-        Marshall Islands-Exports and imports,3
Barley-Barley products-        Mauritius-Exports and imports,2
Barley-Barley products-        Mexico-Exports and imports,486
Barley-Barley products-        Montserrat-Exports and imports,2
Barley-Barley products-        Netherlands Antilles-Exports and imports,24
"Barley-Barley products-        New Zealand, No Islands (=Old Code 6140)-Exports and imports",124
